Timestamp;Map;PlayersNumber;TeamComposition;EnemyComposition;Duration;Victory;KillingBlows;Damage;Healing;Honor;RatingChange;MMR;EnemyMMR;Specialization;isRated
1622605576;1505;6;MONK-Mistweaver-Mysticallx,SHAMAN-Elemental-Thunderbudx-Stonemaul,WARRIOR-Arms-Budplat-Stonemaul;DEMONHUNTER-Havoc-Kaøtix-Hyjal,MONK-Windwalker-Mikelmonk-Illidan,PALADIN-Holy-Nêándèrthäl;95;false;0;524;253703;0;-10;2370;2418;Mistweaver;true
1622605250;2373;6;MONK-Mistweaver-Mysticallx,SHAMAN-Elemental-Thunderbudx-Stonemaul,WARRIOR-Arms-Budplat-Stonemaul;DEATHKNIGHT-Frost-Metsudofang-Tichondrius,DRUID-Balance-Doublebass-Tichondrius,SHAMAN-Restoration-Tyshaman-Illidan;294;true;2;18540;955462;0;9;2358;2251;Mistweaver;true
1622604871;2167;6;MONK-Mistweaver-Mysticallx,SHAMAN-Elemental-Thunderbudx-Stonemaul,WARRIOR-Arms-Budplat-Stonemaul;DEMONHUNTER-Havoc-Kaøtix-Hyjal,MONK-Windwalker-Mikelmonk-Illidan,PALADIN-Holy-Nêándèrthäl;59;false;0;552;130640;0;-10;2378;2429;Mistweaver;true
1622604566;2167;6;MONK-Mistweaver-Mysticallx,SHAMAN-Elemental-Thunderbudx-Stonemaul,WARRIOR-Arms-Budplat-Stonemaul;PALADIN-Holy-Popstar-Mug'thol,SHAMAN-Enhancement-Fuzzyfurball-Illidan,WARRIOR-Arms-Whosthedwarf-Zul'jin;215;true;0;11789;507502;0;12;2347;2356;Mistweaver;true
1622604269;1134;6;MONK-Mistweaver-Mysticallx,SHAMAN-Elemental-Thunderbudx-Stonemaul,WARRIOR-Arms-Budplat-Stonemaul;HUNTER-Survival-Wiillyy-Ragnaros,PRIEST-Discipline-Doodles-Drakkari,ROGUE-Outlaw-Roguegirl-Greymane;118;true;0;4207;293880;0;9;2333;2249;Mistweaver;true
1622604009;572;6;MONK-Mistweaver-Mysticallx,SHAMAN-Elemental-Thunderbudx-Stonemaul,WARRIOR-Arms-Budplat-Stonemaul;PALADIN-Holy-Popstar-Mug'thol,SHAMAN-Enhancement-Fuzzyfurball-Illidan,WARRIOR-Arms-Whosthedwarf-Zul'jin;262;false;0;3302;773455;0;-13;2374;2315;Mistweaver;true
1622603509;2373;6;MONK-Mistweaver-Mysticallx,SHAMAN-Elemental-Thunderbudx-Stonemaul,WARRIOR-Arms-Budplat-Stonemaul;MAGE-Fire-Danielcms-Destromath,PRIEST-Discipline-Neomindz-Nemesis,ROGUE-Subtlety-Astuty-Gallywix;506;false;0;24142;703053;0;-12;2410;2377;Mistweaver;true
1622602915;1672;6;MONK-Mistweaver-Mysticallx,SHAMAN-Elemental-Thunderbudx-Stonemaul,WARRIOR-Arms-Budplat-Stonemaul;DEMONHUNTER-Havoc-Kaøtix-Hyjal,MONK-Windwalker-Mikelmonk-Illidan,PALADIN-Holy-Nêándèrthäl;103;false;0;1058;294061;0;-7;2423;2518;Mistweaver;true
1622602586;617;6;MONK-Mistweaver-Mysticallx,SHAMAN-Elemental-Thunderbudx-Stonemaul,WARRIOR-Arms-Budplat-Stonemaul;DEATHKNIGHT-Frost-Okeoòhya-Illidan,DRUID-Restoration-Wegwowth-BleedingHollow,WARRIOR-Arms-Reesey-Stormscale;363;false;0;560;1134625;0;-9;2450;2465;Mistweaver;true
1622601991;1825;6;MONK-Mistweaver-Mysticallx,SHAMAN-Elemental-Thunderbudx-Stonemaul,WARRIOR-Arms-Budplat-Stonemaul;DEMONHUNTER-Havoc-Kaøtix-Hyjal,MONK-Windwalker-Mikelmonk-Illidan,PALADIN-Holy-Nêándèrthäl;53;false;0;0;148362;0;-10;2488;2445;Mistweaver;true
1622601714;1552;6;MONK-Mistweaver-Mysticallx,SHAMAN-Elemental-Thunderbudx-Stonemaul,WARRIOR-Arms-Budplat-Stonemaul;DEMONHUNTER-Havoc-Kaøtix-Hyjal,MONK-Windwalker-Mikelmonk-Illidan,PALADIN-Holy-Nêándèrthäl;260;true;0;6428;777635;0;15;2453;2479;Mistweaver;true
